
antecedent,consequent,lift
"[""1 PVC COND COUPLING""]","[""1X10FT SCH 40 PVC CONDUIT""]",6.246955939276324
"[""3/4 STL S/SCR EMT CPLG"",""GRND SCR W/12SOL PIGTAIL""]","[""3/4 STL S/SCR EMT CONN""]",5.230918822521647
"[""3/4 STL S/SCR EMT CPLG"",""GRND SCR W/12SOL PIGTAIL"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.230620552025709
"[""10X1 PAN PHIL TAP SCR 100/BX"",""3/4 STL S/SCR EMT CONN""]","[""3/4 STL S/SCR EMT CPLG""]",5.219082745269155
"[""10X1 PAN PHIL TAP SCR 100/BX"",""3/4 STL S/SCR EMT CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.218364641720951
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO"",""18-10      RED     WIRE CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.213062155943843
"[""10X1 PAN PHIL TAP SCR 100/BX"",""3/4 STL S/SCR EMT CPLG""]","[""3/4 STL S/SCR EMT CONN""]",5.212569745475585
"[""10X1 PAN PHIL TAP SCR 100/BX"",""3/4 STL S/SCR EMT CPLG"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.211940625960109
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.201393796906626
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.199559860323698
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO"",""18-10      RED     WIRE CONN""]","[""3/4 STL S/SCR EMT CPLG""]",5.197652383288
"[""3/4 STL S/SCR EMT CONN"",""GRND SCR W/12SOL PIGTAIL"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.192914032781382
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ 5/8D 1G SW RING""]","[""3/4 STL S/SCR EMT CONN""]",5.192879627556057
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ 5/8D 1G SW RING"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.1924216856380205
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ FLAT BLANK COVER"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.192104384865467
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CPLG""]",5.1866272574939485
"[""3/4 STL S/SCR EMT CONN"",""4SQ 1-1/2D BOX COMB KO""]","[""3/4 STL S/SCR EMT CPLG""]",5.186418271864659
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ FLAT BLANK COVER"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CPLG""]",5.18325263032042
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.180035960895218
"[""3/4 STL S/SCR EMT CONN"",""GRND SCR W/12SOL PIGTAIL""]","[""3/4 STL S/SCR EMT CPLG""]",5.178651128766413
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CONN""]",5.173447831902101
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.17290661965899
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ FLAT BLANK COVER"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CONN""]",5.170092507235887
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ FLAT BLANK COVER"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.169775320252417
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CPLG""]",5.168133235211662
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.167773664343786
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.16774662971899
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CPLG""]",5.165488256285251
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ 5/8D 1G SW RING""]","[""3/4 STL S/SCR EMT CPLG""]",5.16098172259918
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ 5/8D 1G SW RING"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.160318286545235
